model,detail,id,price
Máy xách tay/ Laptop Asus X541UJ-DM544T (I3-6006U) (Đen),"
CPU Intel Core i3-6100U (2.3GHz, 3MB Cache)
RAM 4GB DDR3L 
1600MHz
HDD 1TB 5400rpm
VGA NVIDIA GeForce 920M 2GB DDR3 + Intel HD Graphics 520
Màn hình: 15.6"" HD (1366 x 768)
Trọng lượng: ~ 2kg
Hệ điều hành: Windows 10 Home 
64bit",1,10.690.000 ₫
Máy xách tay/ Laptop Dell Inspiron 14 3467-M20NR11 (I3-6006U) (Đen),"
CPU Intel Core i3-6006U (2.0GHz. 3MB Cache) 
RAM 4GB DDR4 2133MHz 
HDD 1TB SATA 5400rpm 
VGA Intel HD Graphics 520 - Màn hình: 14"" HD (1366x768) 
Trọng lượng: 1.81kg 
Hệ điều hành: Win 10 Home",2,10.990.000 ₫
Máy xách tay/ Laptop Asus TP410UA-EC429T (I5-8250U) (Xám),"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 4GB DDR4 
2400MHz
HDD 500GB 5400rpm, 1x slot SSD (M.2/SATA)
VGA Intel UHD Graphics 620
Màn hình: 14.0"" FHD (1920 x 1080) TouchScreen
Trọng lượng: ~ 1.6kg
Hệ điều hành: Windows 10 Home 
64bit",3,17.690.000 ₫
Máy xách tay/ Laptop Asus X541UA-XX272T (I3-6100U) (Đen),"
CPU Intel Core i3-6100U (2.3GHz, 3MB Cache)
RAM 4GB DDR3L 
1600MHz
HDD 1TB 5400rpm
VGA Intel HD Graphics 520
Màn hình: 15.6"" HD (1366 x 768)
Trọng lượng: ~ 2kg
Hệ điều hành: Windows 10 Home 
64bit",4,10.290.000 ₫
Máy xách tay/ Laptop Asus UX430UN-GV081T (I5-8250U) (Vàng đồng),"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 8GB DDR4 
2400MHz
SSD 256GB (M.2/SATA)
VGA NVIDIA GeForce MX150 2GB GDDR5 + Intel UHD Graphics 620- Màn hình: 14.0"" FHD (1920 x 1080)
Trọng lượng: ~ 1.25kg
Hệ điều hành: Windows 10 Home 
64bit",5,23.590.000 ₫
Máy xách tay/ Laptop Asus X441UA-WX027T (I3-6100U) (Vàng đồng),"
CPU Intel Core i3-6100U (2.3GHz, 3MB Cache)
RAM 4GB DDR4 
2133MHz
HDD 1TB 5400rpm
VGA Intel HD Graphics 620- Màn hình: 14.0"" HD (1366 x 768)
Trọng lượng: ~ 1.77kg
Hệ điều hành: Windows 10 Home 
64bit",6,10.290.000 ₫
Máy xách tay/ Laptop Asus X510UA-BR650T (I3-7100U) (Đồng),"
CPU Intel Core i3-7100U (2.4GHz, 3MB Cache)
RAM 4GB DDR4 
2133MHz
HDD 1TB 5400rpm
VGA Intel HD Graphics 620- Màn hình: 15.6"" HD (1366 x 768)
Trọng lượng: ~ 1.7kg
Hệ điều hành: Windows 10 Home 
64bit",7,12.390.000 ₫
Máy xách tay/ Laptop Dell Inspiron 13 7370-7D61Y1 (Bạc),"
CPU: Intel® Core™ i7-8550U 
Ram: 8GB DDR4 2400Mhz 
Ổ cứng: 256GB SSD 
Màn hình: 13.3"" FHD Touch 
Trọng lượng: 1.7kg 
Hệ điều hành có sẵn: Windows 10 Home SL + Office 365",8,28.990.000 ₫
Máy xách tay/ Laptop Dell Inspiron 3567-N3567F (Đen),"CPU Intel Core i5-7200U (2.5GHz up to 3.1Ghz. 3MB Cache)
RAM 8GB DDR4 2133MHz
HDD 1TB SATA 5400rpm
VGA Intel HD Graphics 620
Màn hình: 15.6"" HD (1366x768)
Trọng lượng: 2.2kg
Hệ điều hành: Win 10 Home",9,14.990.000 ₫
Máy xách tay/ Laptop Dell Vostro 3468-K5P6W12 (I5-7200U) (Đen),"CPU Intel Core i5-7200U (2.5GHz up to 3.1Ghz. 3MB Cache)
RAM 8GB DDR4 2133MHz
HDD 500GB SATA 5400rpm
VGA AMD Radeon R5 M420 2GB + Intel HD Graphics 620
Màn hình: 14"" HD (1366x768)
Trọng lượng: 2kg
Hệ điều hành: Win 10 Home",10,14.790.000 ₫
Máy xách tay/ Laptop Dell Inspiron 13 7370-7D61Y2 (Bạc),"
CPU: Intel® Core™ i7-8550U 
Ram: 16GB DDR4 
Ổ cứng: 512GB SSD 
Màn hình: 13.3"" FHD 
Trọng lượng: 1.7kg 
Hệ điều hành có sẵn: Windows 10",11,34.390.000 ₫
Máy xách tay/ Laptop HP Pavilion 15-cc048TX (2GV11PA) (Vàng),"
CPU:Intel Core i7 7500U
Ram:8GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" HD
Trọng lượng: 2.16 kg
Hệ điều hành có sẵn: Free Dos",12,17.990.000 ₫
Máy xách tay/ Laptop Acer A315-51-3932 (NX.GNPSV.023) (Đen),"
CPU: Intel® Core i3 -6006U 2.0GHz 3MB Cache L3
Ram: 4GB DDR4 
Ổ cứng: HDD 1TB SATA3
Màn hình: 15.6"" HD resolution Acer ComfyView LCD anti-glare
Trọng lượng: 2.3 kg
Hệ điều hành có sẵn: Free Dos",13,8.990.000 ₫
Máy xách tay/ Laptop HP Pavilion 15-au109TU (Y4G14PA) (Bạc),"
CPU: Intel Core i3-7100U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 15.6"" HD
Trọng lượng: 2 kg
Hệ điều hành có sẵn: Win 10",14,11.490.000 ₫
Máy xách tay/ Laptop Dell Inspiron 3567-N3567D (Đen),"CPU Intel Core i3-6006U (2.0GHz. 3MB Cache)
RAM 4GB DDR4 2133MHz
HDD 1TB SATA 5400rpm
VGA Intel HD Graphics 520
Màn hình: 15.6"" HD (1366x768)
Trọng lượng: 2.0kg
Hệ điều hành: Win 10 Home",15,11.690.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320S-14IKBR-81BN0051VN (i5-8250U) (Xám),"
CPU: Intel Core i5 Kabylake Refresh, 8250U, 1.60 GHz 
Ram: 4 GB, DDR4 (1 khe), 2133 MHz 
Ổ cứng: HDD 1 TB 
Màn hình: 14 inch, Full HD (1920 x 1080) 
Trọng lượng: 1.7kg 
Hệ điều hành có sẵn: Windows 10",16,13.000.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 520s-14IKB 81BL0086VN (i5-8250U) (Vàng),"
CPU: Intel® Core™ i5-8250U 
Ram: 4GB DDR4 
Ổ cứng: HDD 1TB 5400rpm 
Màn hình: 14.0"" FHD 
Trọng lượng: 1.7kg 
Hệ điều hành có sẵn: Windows 10 SL",17,14.490.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 720s-13IKB 81BV0061VN (i5-8250U) (Vàng),"
CPU: Intel® Core™ i5-8250U 
Ram: 8GB DDR4 
Ổ cứng: 256GB SSD_PCIe 
Màn hình: 13.3"" FHD 
Trọng lượng: 1.8kg 
Hệ điều hành có sẵn: Windows 10 SL",18,21.990.000 ₫
Máy xách tay/ Laptop Lenovo Thinkpad E570-20H5A02GVN (Đen),"
CPU: Intel® Core™ i5-7200U 
Ram: 4GB DDR4 
Ổ cứng: 500GB 7200rpm 
Màn hình: 15.6” HD 
Trọng lượng: 2.3kg 
Hệ điều hành có sẵn: Windows 10 SL",19,15.850.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 120s-81A40074VN (N3350) (Xám),"
CPU: Intel Celeron N3350 (2M Cache, up to 2.4 GHz) 
Ram: 4GB LPDDR4 2400MHz 
Ổ cứng: HDD 500GB 5400rpm 
Màn hình: 11.6"" HD 1366 x 768 
Trọng lượng: 1.26kg 
Hệ điều hành có sẵn: Free Dos",20,6.090.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 110-15IBR-80T700AYVN (N3710) (Đen),"CPU: Pentium N3710 RAM/ HDD: 4Gb/ 500Gb Màn hình: 15.6Inch VGA: VGA onboard, Intel HD Graphics HĐH: Dos Màu sắc/ Chất liệu: BlackGiao tiếp mở rộng: 2 x USB 2.0, 1 x USB 3.0, 1 x HDMI, 1 x VGA Card Reader;",21,6.290.000 ₫
Máy xách tay/ Laptop Lenovo Thinkpad E570-20H5A02FVA (Đen),"
CPU: Intel Core i5 7200U 
Ram: 4GB DDR4 
Ổ cứng: HDD 500GB 7200rpm 
Màn hình: 15.6'' HD 
Trọng lượng: 2.2Kg 
Hệ điều hành có sẵn: Free OS",22,13.990.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 710S-13IKB 80VQ0095VN (I3-7100U) (Vàng),"
CPU: Core i3 7100U 
Ram: 4GB LPDDR3 1866 ONBOARD 
Ổ cứng: 128G PCIE SSD 
Màn hình: 13.3 FHD IPS AG(SLIM) 
Trọng lượng: 1.12kg 
Hệ điều hành có sẵn: Windows 10 HOME",23,15.490.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320-14ISK 80XG0083VN (i3-6006U) (Đen),"
CPU: Intel Core i3 Skylake, 6006U, 2.00 GHz 
Ram: 4 GB, DDR4 (1 khe), 2133 MHz 
Ổ cứng: HDD 500 GB 
Màn hình: 14 inch, HD (1366 x 768) 
Trọng lượng: 2.1kg 
Hệ điều hành có sẵn: Windows 10",24,9.390.000 ₫
Máy xách tay/ Laptop Lenovo Thinkpad E470-20H10033VA (Đen),"
CPU: Intel® Core™ i5-7200U 
Ram: 4GB DDR4 
Ổ cứng: HDD 500GB 7200RPM 
Màn hình: 14” HD 
Trọng lượng: 1.87kg 
Hệ điều hành có sẵn: Free Dos",25,14.190.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320-14AST 80XU001XVN (AMD A9) (Đen),"
CPU: AMD RADEON™ A9-9420 
Ram: 4GB DDR4 2133 
Ổ cứng: HDD 1TB 5400rpm 
Màn hình: 14.0"" FHD 
Trọng lượng: 1.8kg 
Hệ điều hành có sẵn: Free Dos",26,8.490.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320-15IKB 81BG00BNVN (i5-8250U) (Đen),"
CPU Intel Core i5-8250U (1.6GHz Upto 3.4GHz, 6MB Cache),
Ram 4GB DDR4 2133Mhz
Ổ cứng HDD 1TB 5400rpm
Kích thước màn hình 15.6” FHD (1920x1080) TN AG (SLIM)
VGA onboard Intel UHD Graphics 620",27,11.990.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320-15IKB 81BG00E0VN (i5-8250U) (Xám),"CPU: Core i5 8250U
Ram: 4GB DDR4
Ổ cứng: HDD 1TB 5400rpm
Màn hình: 15.6"" FHD
Trọng lượng: 2.1kg
Hệ điều hành có sẵn: Windows 10 SL",28,14.000.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 120s-11IAP 81A400EKVN (N3350) (Xanh),"
CPU Intel Celeron N3350 (1.1GHz Upto 2.4Ghz/2MB)
4GB LPDDR4 2400Mhz
HDD: 500GB 5400rpm
Kích thước màn hình 11.6” HD (1366x768) TN AG (SLIM),
VGA onboard Intel HD Graphics 500",29,6.590.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320-15IKB 81BG00DYVN (i5-8250U) (Xám),"CPU Intel® Core™ i5-8250U Processor (6M Cache, up to 3.40 GHz)
RAM 4GB DDR4
HDD 1TB 5400rpm
Display 15.6"" FHD
HĐH Windows 10",30,12.990.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 520s-14IKB 80X200J2VN (i3-7130U) (Vàng),"
CPU: Intel® Core™ i3-7130U 
Ram: 4GB DDR4 
Ổ cứng: HDD 1TB 5400rpm 
Màn hình: 14.0"" FHD 
Trọng lượng: 2kg 
Hệ điều hành có sẵn: Windows 10 SL",31,12.490.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 510-15IKB-80SV00QSVN (i7-7500U) (Bạc),"
CPU: Intel® Core™ i7-7500U 
Ram: 8GB DDR4 
Ổ cứng: HDD 1TB 
Màn hình: 15.6” FHD IPS AG 
Trọng lượng: 2.1kg 
Hệ điều hành có sẵn: Free Dos",32,18.400.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 120s-81A40071VN (N3350) (Xanh),"<p>
CPU: Intel Celeron N3350<br />
Ram: 2GB LPDDR4 2400<br />
Ổ cứng: 32GB eMMC<br />
M&agrave;n h&igrave;nh: 11.6"" HD (1366x768)<br />
Trọng lượng: 1.24kg<br />
Hệ điều h&agrave;nh c&oacute; sẵn: Windows 10 HOME</p>",33,5.200.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320-15ISK 80XH01JPVN (i3-6006U) (Đen),"
CPU: Intel® Core™ i3-6006U 
Ram: 4GB DDR4 2133 
Ổ cứng: HDD 2TB 5400rpm 
Màn hình: 15.6Inch Full HD 
Trọng lượng: 1.8kg 
Hệ điều hành có sẵn: Free Dos",34,9.190.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 110-14IBR-80T600AFVN (N3710) (Đen),"
CPU: Intel® Pentium® Processor N3710 (1.60GHz, 2M Cache, up to 2.56GHz) 
Ram: 4GB DDr3L Bus 1600Mhz 
Ổ cứng: HDD 500GB 5400rpm 
Màn hình: 14 inch HD (1366 x 768) 
Trọng lượng: 1.90Kg 
Hệ điều hành có sẵn: Windows 10 Home SL 64bit",35,6.700.000 ₫
Máy xách tay/ Laptop Acer SF315-51G-537U (NX.GSJSV.004) (Xám),"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" FHD
Trọng lượng: 1.8 kg
Hệ điều hành có sẵn: Win 10",36,19.990.000 ₫
Máy xách tay/ Laptop Acer AS VX5-591G-52YZ (NH.GM2SV.002) (Đen),"
CPU: Intel Core i5 7300HQ 2.5GHz 
6M (up to 3.5GHz)
Ram: 8GB DDR4
Ổ cứng: SSD 128GB M.2 2280 + HDD 1TB 5400rpm Sata3
Màn hình: 15.6' inches
Trọng lượng: 2.5Kg
Hệ điều hành có sẵn: Free DOS",37,20.190.000 ₫
Máy xách tay/ Laptop Acer E5-575-35M7 (NX.GLBSV.010) (Xám),"
CPU: Intel Core i3-6006U (2.00GHz up 3.10GHz 
3Mb)
Ram: 4GB DDR4 2133Mhz
Ổ cứng: HDD 500GB 5400rpm SATA
Màn hình: 15.6 LED Full HD (1920x1080)
Trọng lượng: 2.2 kg
Hệ điều hành có sẵn: Free Dos",38,9.499.000 ₫
Máy xách tay/ Laptop Acer SF314-52-39CV (NX.GNUSV.007) (Bạc),"
CPU: Intel Core i3-7130U
Ram: 4GB
Ổ cứng: SSD 256GB
Màn hình: 14.0"" FHD
Trọng lượng: 1.5kg
Hệ điều hành có sẵn: Win 10",39,14.999.000 ₫
Máy xách tay/ Laptop Acer A315-51-53ZL (NX.GNPSV.019) (Đen),"
CPU: Intel® Core™ i5-7200U Processor 2.50 GHz, up to 3.10 GHz
Ram: 4GB DDR4 2400MHz
Ổ cứng: HDD 1TB
Màn hình: 15.6 HD (1366 x 768)
Trọng lượng: 2.1 Kg
Hệ điều hành có sẵn: Free Dos",40,11.499.000 ₫
Máy xách tay/ Laptop Acer E5-576-56GY (NX.GRNSV.003) (Xám),"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" FHD
Trọng lượng: 2.1 kg
Hệ điều hành có sẵn: Linux",41,12.590.000 ₫
Máy xách tay/ Laptop Acer ES1-132-C6U8 (NX.GG3SV.002) (Đỏ),"
CPU: Intel Celeron N3350
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 11.0"" HD
Trọng lượng: 1.3 kg
Hệ điều hành có sẵn: Free Dos",42,6.299.000 ₫
Máy xách tay/ Laptop Acer A315-31-P66L (NX.GNTSV.002) (Đen),"
CPU: Intel® Pentium® Processor N4200 1.10 GHz, up to 2.5Ghz
Ram: 4GB
Ổ cứng: HDD 500GB 5400rpm SATA
Màn hình: 15.6 HD (1366 x 768)
Trọng lượng: 1.86kg
Hệ điều hành có sẵn: Free Dos",43,6.990.000 ₫
Máy xách tay/ Laptop Acer A515-51-37DW (NX.GPASV.008) (Xám),"
CPU: Intel Core i3-7130U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 15.6"" FHD
Trọng lượng: 1.5kg
Hệ điều hành có sẵn: Win 10",44,11.999.000 ₫
Máy xách tay/ Laptop Acer E5-475G-51Z4 (NX.GCPSV.001),"
CPU: Intel Core i5-7200U Processor (2 x 2.50GHz), Max Turbo Frequency: 3.10GHz
Ram: 4GB DDR4
Ổ cứng: HDD 1TB SATA3 (5400rpm)
Màn hình: 14.0"" FHD (1920 x 1080) resolution Acer ComfyView™ LCD ; Anti-Glare
Trọng lượng: 2.1 kg
Hệ điều hành có sẵn: Free Dos",45,13.190.000 ₫
Máy xách tay/ Laptop Acer A315-31-P9FW (NX.GNTSV.003) (Đen),"
CPU:Intel Pentinum N4200
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 15.6"" HD
Trọng lượng: 2.1 kg
Hệ điều hành có sẵn: Win 10",46,7.499.000 ₫
Máy xách tay/ Laptop Acer A515-51G-39GT (NX.GPASV.003) (Xám),"
CPU: Intel Core i3 Kabylake, 7100U, 2.40 GHz
Ram: 4 GB  DDR4
Ổ cứng: HDD 500 GB
Màn hình: 15.6 inches
Trọng lượng: 2.2 kg
Hệ điều hành có sẵn: Free Dos",47,10.499.000 ₫
Máy xách tay/ Laptop Acer AN515-51-51UM (NH.Q2RSV.003) (Đen),"
CPU: Intel Core i5-7300HQ
Ram: 8GB
Ổ cứng: SSD 128GB + HDD 1TB
Màn hình: 15.6"" FHD
Trọng lượng: 2.5 kg
Hệ điều hành có sẵn: Free Dos",48,21.499.000 ₫
Máy xách tay/ Laptop Acer A315-51-39DJ (NX.GNPSV.030) (Đen),"
CPU: Intel Core i3-7130U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" FHD
Trọng lượng: 2.0 kg
Hệ điều hành có sẵn: Win 10",49,10.999.000 ₫
Máy xách tay/ Laptop Acer SF314-52-55UF (NX.GQGSV.002) (Bạc),"
CPU: Intel Core i5-8250U 1.6GHz up 3.4GHz 6MB
Ram: 4GB DDR4 2400MHz
Ổ cứng: 256GB SSD M.2
Màn hình: 14 inch FHD (1920 x 1080) Anti-Glare
Trọng lượng: 1.5 kg
Hệ điều hành có sẵn: Windows 10 Home",50,16.990.000 ₫
Máy xách tay/ Laptop Acer AN515-51-739L (NH.Q2SSV.007) (Đen),"
CPU: Intel® Core™ i7-7700HQ 2.8GHz , Turbo Boost 3.8GHz 6MB Cache
Ram: 8GB DDR4 2400MHz
Ổ cứng: 1TB SATA 5400rpm (Có khe M2 SSD)
Màn hình: 15.6” Full HD IPS 1920x1080
Trọng lượng: 2.5Kg
Hệ điều hành có sẵn: Windows 10 Single Language",51,23.990.000 ₫
Máy xách tay/ Laptop Acer G3-572-79S6 (NH.Q2BSV.002) (Đen),"
CPU: Intel Core i7-7700HQ
Ram: 8GB
Ổ cứng: SSD 128GB + HDD 1TB
Màn hình: 15.6"" FHD
Trọng lượng: 2.7kg
Hệ điều hành có sẵn: Linux",52,31.990.000 ₫
Máy xách tay/ Laptop Acer SF315-51-530V (NX.GSKSV.001) (Xanh),"
CPU: Intel® Core i5-8250U 1.6GHz Up to 3.4Ghz 6MB Cache L3
Ram: 4GB DDR4 
Ổ cứng: HDD 1TB SATA
Màn hình: 15.6"" Full HD IPS 1920x1080
Trọng lượng: 2.1Kg
Hệ điều hành có sẵn: Windows 10 Single Language",53,16.990.000 ₫
Máy xách tay/ Laptop MacBook Air MQD42ZP/A,"Trong hộp có: Dây nguồn, Sách hướng dẫn, Thùng máy, Adapter sạc
Bảo hành chính hãng: thân máy 12 tháng, pin 12 tháng, sạc 12 tháng
Giao hàng tận nơi miễn phí từ 2 7 ngày.
Tìm hiểu 1 đổi 1 trong 1 tháng với sản phẩm lỗi",54,27.850.000 ₫
"Máy xách tay/ Laptop MacBook 13.3"" MPXR2ZP/A (Bạc)","Trong hộp có: Dây nguồn, Sách hướng dẫn, Thùng máy, Adapter sạc
Bảo hành chính hãng: thân máy 12 tháng, pin 12 tháng, sạc 12 tháng
Giao hàng tận nơi miễn phí từ 2 7 ngày.
Tìm hiểu 1 đổi 1 trong 1 tháng với sản phẩm lỗi",55,33.590.000 ₫
Máy xách tay/ Laptop MacBook Air MQD32ZP/A,"Kích thước: 32.5 x 22.7 x 1.7 cm (12.8 x 8.94 x 0.68 in)
Trọng lượng: 1.35 kg (2.96 lb)
Màn hình: LED-backlit IPS LCD
Kích thước màn hình: 900 x 1440 pixels, 13.3 inches
Hệ điều hành: OS X Sierra
Bộ vi xử lý (CPU): Intel Core i5 Dual-core 1.8 GHz, Turbo Boost lên đến 2.9 GHz, 3 MB L3 cache
Đồ họa (VGA): Intel HD 6000",56,23.000.000 ₫
"Máy xách tay/ Laptop MacBook 12"" MNYM2SA/A (Vàng hồng)","
CPU: Core M3 7Y32 (1.2GHz) 
Ram: 8Gb 
Ổ cứng: 256Gb SSD 
Màn hình: 12.0Inch 
Trọng lượng: 0.92kg 
Hệ điều hành có sẵn: Mac OS X 10.12.5",57,33.450.000 ₫
"Máy xách tay/ Laptop MacBook 13.3"" MPXQ2SA/A (Xám)","
CPU: Intel Core i5 Dual-core 2.3 GHz 
Ram: 8 GB 2133 MHz LPDDR3 
Ổ cứng: 128 GB PCIe 
Màn hình: 560 x 1600 pixels, 13.3 inches 
Trọng lượng: 1.37kg 
Hệ điều hành có sẵn: OS X Sierra",58,33.590.000 ₫
"Máy xách tay/ Laptop MacBook 15"" MPTT2SA/A (Xám)","Trong hộp có: Dây nguồn, Sách hướng dẫn, Thùng máy, Adapter sạc
Bảo hành chính hãng: thân máy 12 tháng, pin 12 tháng, sạc 12 tháng
Giao hàng tận nơi miễn phí từ 2 7 ngày.
Tìm hiểu 1 đổi 1 trong 1 tháng với sản phẩm lỗi",59,71.500.000 ₫
